passage.number,passage,annotator,nondomestic,notes
751,"Some weighty matter was evidently before his mind. Suddenly he seemed to see light. With an air of great good fellowship, he exclaimed, — ' As sure as my name is Mr Mungo Mauch- line, and if I am anny joodge of the weather, .this is a shuperfine day.' There was really nothing special about the day; but Mr Mungo Mauchline objected to undue familiarity ; and this was his way of making known how he chose to be called. 'It's a geyan coorse day,' returned Mrs Gillespie, in an injured tone ; thinking of the effects of that draught upon her ' hoast.' ' Yes, there is a wind into it, I own,' granted Mr Mungo Mauchline, as if the day were his, and he responsible for the quality of it ; ' there is a little wind into it too — nut a rantin', tantin', tearin' wind ; but a nookin', soughin', wurnin' wind, as the minister in the story says.' ' Jist a wheen claivers, a' thae stories aboot ministers,' cried Mrs Gillespie tartly ; ' min- isters is nane dafter nor ither folk, an' no sae daft as some, Mungo.' '",mark,,
752,"""Yes, of course. First of all — ah, I cannot go on in this way, cataloguing things,"" exclaimed Eleanor passionately. "" It is too horrible. I don't believe I have the right to ask one of these questions ; and yet I feel as if so much depended on my knowing the answers to them ! "" She had sat up, and leaned forward, looking with intense earnestness, pleading earnestness at him. Michael, imperceptibly to her, caught his breath. The temptation was strong to bid her ask what she would, since he knew her motives must be pure.",alex,,
753,"The mountains of the Ngome, and over- looking the forest of that name, are flat- topped, like all others in South Africa ; but Major Marter found the western slope to be dangerously precipitous, and thence he and his guides looked down into a densely wooded valley, lying more than two thousand feet below. About two miles distant, thin smoke could be seen ascending amid the greenery, from a small kraal by the side of a brawling stream, and therein Cetewayo was known to be. As cavalry could not reach the bottom without making a very long detour, the Major ordered all the mounted men to lay aside their bright steel scabbards, and all Other accoutrements likely to create a rattling noise, and these, with the pack horses, were left in charge of a small party, the command of which was offered to the sinking Florian, who foolishly declined, and rode with the rest to a less precipitous slope of the hills three miles distant, down which the Dragoon Guards led their chargers by the bridle, crossed the stream referred to, a small fence, and a marsh, and, remounting, made a dash for the kraal, sword in hand, from the north, while the Native Contingent formed up south of it on some open ground. The capture of Cetewayo is an event too recent to be detailed at length here. It is known how his few followers, on seeing the red-coated cavalry riding up, shouted, in unison with the Native Contingent: * The white men are here — you are taken !' Then the fallen royal savage came forth, looking weary, weak, and footsore ; and when a soldier — Tom Tyrrell — attempted to seize him, he drew himself up with an air of simple dignity, and repelled him.",jessica,,
754,"Anna, sometimes I fancy it must be all a dream."" "" He went away this morning ? "" "" You must have crossed on the road ; I VOL. m. 61 am glad you were too late to see him — are you?"" Amia said, ""Yes."" "" He was miserably dejected.",svenja,,
755,"Mrs. Brunton received ihcm with great cordialüy., and her piain, but komfortable dinncr was relished better by her guests from not being accom- panied by the usual excuses of being quite unprepared, and vastly sorry ihere was nothing fit to eat, which, in fact, is only a civil way of telling your guests you had rather they dined any where eise "" I am at this moment in the most disagreeable Situation/' said Mrs. Brunton, after dinner. "" I have an excellent offer for my lodgings, which at present are empty, but I know not what to do with a poor woinan who has been with nie for some time, sincc the new-comers will want every room I can spare from my own family, and she is in a very bad state of health. I have tried round the neighbourhood to get her a lodging in vain, and what is to becom3 of her I cannot teil ; she ii 6 talks, indeed, of going to Service, but I am sure she will be a long timc, if ever, before she recovers her strength."" "" What is her disorder ?"" asked Miss Wilmot. "" A nervous fever/' was the replv, "" brought on by extreme ill usagc from her husband. — About three months ago, they took my lodgings, and he pretended to have property in? America ; but I soon understood from her, that what they had had was con- verted into cash, and she was fearful Mr. Brown was dissipating it very fast. "" Poor thing !",matt,,
756,"But my monkey was up, and I was determined to see what it was, so I lit a candle and went back. Then, by groping about, I discovered that secret passage leading through into the other side ; and, never hesitating, I explored it at once, and the next minute found myself in the opposite bed-room ; but, raising my candle a little, I saw a female in bed, and so hooked it out again sharp; though I must tell you that, just as I got through into her room, I twigged the door at the further side closing on somebody in the act of going out."" ""This is most extraordinary,"" exclaimed Agnes, with a look of alarm ; "" for they tell me that Lizzie's door was found unfastened this morning, and she declares she locked it last night."" "" Go on, boy, go on ; is that all ?"" asked Grumpy, impa- tiently. "" Not quite. I got back to my room (shoved on some clothes, for it was precious cold), and then went straight off to the Rajah's—"" ""You mean the Captain's?"" suggested Grumpy. ""Captain Helfernan's, yes — when I noticed, curiously enough, that my door was standing ajar — "" """,mark,,
757,"I believe he promised him over and over again — seeing that he was a boy of talents above the common order — that he would place him in some occupation either be- longing to the law, the church, or medicine, that would give scope for the employment of his faculties — if he would but apply and render himself fit for it. But you know nothing would induce Paul to set seriously to work — to labour — drudge, if you will, as people must labour who hope to succeed. Nothing could persuade him to cross his inclination for wasting his time in vain, aimless wanderings, whether of mind or body."" A pause of a few seconds, but the husband made no answer. Kate went on. "" He was unfit for any profession. Not pious enough for the church, not industrious enough for the law, still less calculated for medicine.",alex,,
758,"An hour^ nor yet a couple was sufficient to talk over the one half we had to say ; so we willingly accepted an invitation to dinner, I having already declared my intention of walk- ing to Mansfield Lodge, which was not less than three miles off. Dr. Tomkins, I have little doubt, fathomed my melancholy motives for this stroll ; for I perceived him cast a signi- ficant glance towards his sister, which was returned by one equally expressive of concern on her part, though not a single observation escaped them. As for myself I knew per- fectly what was passing in their minds, (for they knew of my unfortunate amour, although mistaken as to the object,) and my confusion must have been sufficiently obvious to them as quitting the Parsonage, we directed our steps towards a place which abounded with as many melancholy remembrances as my own family mansion. After following the high road for upwards of a mile, I struck into a by path, that in- tersected that lane about the very spot, where I first met with Mansfield and his daughters, when he himself was so brutally assaulted by his Irish steward. The nearer I drew to this well remembered place, the more overpowering became my feehngs ; and Foster who well knew the cause, had the kind dehcacy to Unger pur- posely behind, so as to keep me within sight without intruding upon my sorrows. At length I came to the old twisted iron gate of the avenue, the lower portion of which was matted with weeds and briars ; and alas !",jessica,,
759,"They knew not the pangs of blighted affection ; or if Lady Caroline had indeed known them, as we have been taught, she suspected not that they were the cause of her daughter's suffer- ings, and she was forced to see her pine and linger. Oh why have we hearts, if they are to be thus broken ? why are we endowed with feelings of such exquisite sensibility, if they are to be the mock of fortune, and the butt for all the shafts of disappointment and deception ; to be trampled 'l!rpJft%ithout thoug-ht by those for whom we ^ftft^e^ Mce ' felt that the sacrifice of existence would be but a light task ? And light, indeed, would it be, compared with the length of bitter years we have to drag on our heavy, heavy ^(ihain. - flaaaoiq Ji ausntjiiio.",svenja,,
760,"she's up to fun. Why, bless you, my dear, we chuckled together as if we'd seen into one another's thoughts. She did not mind my cap, nor my wig ! not she ! You may call her eyes beautiful if you will. They are windows to her soul, just as eyes are meant to be ; not bits of stained glass to prevent your seeing out or in. What's the tall man's name?",matt,,
761,"Wriothesley, however, greeted him cordially. * I called at the "" Eagle and Child "" this afternoon,' he said. ' I thought I should have seen you there.' * Did you? I fancied you had forgotten all about me. You did not write as you promised. I came here yesterday.' ' When did you meet my aunt and cousin V 6 Bernard introduced me an hour or two ago.' '",mark,,
762,"The little man starts from his chair ; another instant, and he has passed the screen ; his arm is around his daughter. "" Georgina,"" he says in accents hoarse with sorrow, "" you have grieved me once to-night, inadvertently I know, but cruelly. Will you, my child, yet grieve me further ? Unintentionally I have overheard a part of your discourse. I bid you, if you love me, I bid you forgive the Captain. He has been over hasty, but — "" "" Oh, papa,"" cries the girl, resting her head on her father's bosom, "" you do not know all he has said."" "" Forgive him, Georgie. He thought that you sinned knowingly."" ""And if I do forgive him I shall be wretched, when every one supposes I am an impudent creature.",alex,,
763,"Several months past he had applied for permission to be admitted a student at the senior department of that establishment ; but other, and much more engrossing events having intervened, the college had completely vanished from his thoughts, and the pre- paration necessary for his entrance exami- nation. The month of January had already com- menced, and the cornet was summoned to appear at Sandhurst on the first of the ensuing February. Not a single book, connected with the college course, had been looked into by him— even his school arithmetic had not been refreshed — decimals, fractions, and proportion, he recollected but the names of. The cornet numbered the few days that were allowed him for preparation, and trembled. "" Every candidate,"" say the regulations for the students of the senior department of the Royal Military College, "" will have to undergo an examination previous to admission. The examination will be chiefly in the elements of geometry ; but if deemed necessary, it will be extended to other elementary puts of education requisite to qualify ham for making progress in the branches of instruction taught at the col- lege."" Pierce looked out in his pocket Johnson for the word "" geometry,"" and found that it was a noun substantive, signifying "" the science of quantity, extension, or magnitude, abstractedly considered.""",jessica,,
764,"The eastern side, which is peculiarly rough and rugged, was formerly the chief seat of Macgregor and his clan. Occu- pying a district almost inaccessible, when roads were unknown and the country more wooded, the Macgregors were enabled to carry on a cruel as well as a predatory system of warfare on the surrounding clans; forcing contribu- tions under the title of "" black mail/""' But it would be vain to attempt to describe scenes, fitted only for the one pen, or the artist's pencil, and which can hardly bear to be tamed into description. The wanderers scarcely spoke to each other, so charmed were they by the air of stillness and solemnity around them : their dreamy as- sociations were not materialised by any thoughts of busy every-day life ; they felt the poetry, which external nature in the hour of twilight majestically creates! "" I love thee, twilight! as thy shadows roll, The calm of evening steals upon the soul ; Sublimely tender, solemnly serene, Still as the hour, enchanting as the scene ! Twilight I love thee, — let thy glooms increase Till every feeling, — every pulse — is peace!"" At the time of which we write, steamboats were not to be seen, as now they are, — daily plying, freio-hted with human loads from the land of Cockayne, all flaunting in tartans — which they confound with plaids, — while the citizen from Tooley Street '' wd' his fat wame"" in a short Hieland coat, and his puir short houghs gartered below the knee, like a "" lang legged gilly,"" surprises the North.",svenja,,
765,"But, mamma, Frank will get on, I'm sure. Kate said in her letter she knew he was doing well. He is very clever. He can paint beautifully; and it was only the other evening, at the rector}^, that Mr. Nelson said artists were just as well off as any other professional men, and as well thought of If he likes painting better than anything else, and sees his way to get on, why should he not be an artist ?"" "" Nonsense, child,"" was her mother's answer to Grace's special pleading. And then Mrs. Heath- cote explained, for the hundredth time, the reasons why Frank could never, by any possibility, be in a position to marry. "" Besides, if Kate knows he is doing very well in London, it is a strange thing they don't know where he lives.",matt,,
