passage.number,passage,annotator,nondomestic,notes
251,"It was amazing to me, that his sensations, so contradictory to the absurd crotchet he had taken into his head, did not convince him of his error, especially when so frequently com- pelled to act in obedience to long accustomed impulses. As, for instance, on my rising to go, he suddenly started from his chair, shook my hands, and accompanied me to the door, as if nothing had been the matter. "" Well now ! What do you think of that ? "" said I, triumphantly. "" Ah, ah !"" said he, after a puzzled pause, "" but you little know the effort it cost me ! "" * # * * He did not persevere long in the absurd way of putting on his clothes which I have just described ; but, even after he had discontinued it, he alleged his opinion to be, that the front of his clothes ought to be with his face ! I might relate many similar fooleries springing from this notion of his turned head, but sufficient has been said already to give the reader a clear idea of the general character of such delusions. My subsequent inter- views with him, while under this unprecedented hallucination, were similar to the two which I have attempted to describe.",mark,,
256,"The shore was bold and winding ; his steps sometimes circled round a jutting point, and the next moment descended into a grassy glen, while the stream ran calm and silently by. Seating himself on a moss covered rock, close to the water's edge, he watched the rays of the sun slowly steal over the scene. Hearing the soft sound of approaching steps, he turned, and saw Catherine Dawnay ad vane- ing along the shore. The calmness and fresh- ness of the morning had led her to choose this path, and she walked on slowly, unconscious of the presence of a being in the place. Her eyes were bent thoughtfully on the ground, and the rich colour that always wantoned in her cheek was heightened by the pure breeze; her air and step were those of a proud woman, yet of one whose pride at this moment was combated by a more master passion. ""Is it you P' 1 she said hurriedly, as her look was turned for a moment on his moveless figure. "" I had not thought to find a human being in this lonely path ; but midnight and sun-rise are your wandering hours.",mark,,
261,"BY JOHN MILLS, AUTHOR OF "" THE OLD ENGLISH GENTLEMAN, COUNTY,"" &C. IN THREE VOLUMES. VOL. in. LONDON: COLBURN & CO., PUBLISHERS, 13, GREAT MARLBORO UGH STREET. 1852. Notice is hereby given, that the Publishers of this work reserve to themselves the right of publishing a Translation in France. M. S. MYERS, PRINTER, 22, TAVISTOCK STREET, COVENT GARDEN.",mark,,
266,"I think I see your surprise when you read this — your utter incredulity ; and yet, my love, it is true. Some time, I may be able to explain the mys- tery of this ; in the mean time, believe any- thing rather than that I am acting basely — or even inconsistently with all I have spoken and written to you on these subjects ; for I swear to you that I had no thought of this till this very day — could not have conceived it possible that it should come before me, not only as a duty, but as an imperious necessity. God bless you, dearest — bless you all ! You shall hear from me soon again : in the mean time think as little badly of me as you can, and always love me. I have greater need of your love than ever."" Without intending, or even being himself quite conscious of the fact, George's letters to Lis sister had altered a good deal both in style and sentiment, in consequence of the feelings he had taken back to town with him at Christmas. There was less of the pretended hardness and customary slang in which young men often choose to indulge, to the injury and disguise of their natural sentiments, and a great deal more of truth and reality.",mark,,
271,"But tides and tidal trains, my dear, wait for no man, as you may not have learnt yet. There are a few odds and ends on the toilet-table. Pray accept them, with my blessing. No, I will not leave my address ; thank you for suggesting the pre- caution, all the same. Chatham-Dover, main line, cabman.' The mere thought of a trip abroad always put Henry in good spirits. He waved his hand quite festively to the girl, who had already decided that this was quite the ' pleasantcst-spoken gent' of her acquaintance.",mark,,
276,"Such was his mood of mind when the stable-clock struck ten — the hour when the post was due : and before long a tray of letters was brought to him. He had only expected one which could bear on his anxiety. Instead of one there were three. There was the one he expected ; he knew it must be her handAvriting ; he looked at the back, and there he saw her monogram. Besides that there was one from her eldest sister, and there was another from Mrs. Harley. He read the one from the eldest sister first. She accepted Carew's explanation with regard to the presence of Foreman, but slie did so in phrases of such studied coldness as to show that her displeasure remained, although the alleged pretext for it had been abandoned.",mark,,
281,"But I fear, this mean rapine, this ' itching palm,' as the English poet saith, which so infects the Republican Commanders, will induce me to rest contented with the good old virtues ; and even to compound with the prejudices of nobility afld hereditary rank. '' "" But, princes, dear Vittoria, can rob and oppress too,"" said Giustiniani. "" Si, si, good cousin : and that they do openly, under no cant of philanthropy nor professions of benevolence, but from the good old principle that seven-eighths of the world were made to serve the other eighth ; and. Heaven knows, that the ingrained marks of servility are stamped stronger on the wills, tar- lents, and propensities of the multitude, than all your boasted rights of equaUty and innate freedom are proved in the thousand-and-one dreams of moral and political philosophy."" "" What ! uttering such principles ?"""" ex- claimed Duvivier, "" and quoting English, moreover! Fair disciple of Pitt, I have known fewer words lead to a fate little be- coming thy beauty and thy rank."" "" Alas !"" replied Vittoria, "" your menacing arguments are but too true.",mark,,
286,"We'll teach you, old schoolmaster, not to sit reading here all night,"" and the newspaper was snatched from his hand. "" I think, young gentlemen, you need someone to teach you good manners."" "" Not you, old schoolmaster. We'll give you a lesson first. You'll have to fight one of us."" ""I do not want to fight,"" said the other quietly. "" Can you not leave me alone ?"" "" Leave you alone, after your reflection on our manners !",mark,,
291,"Nothing more remained for them to do, but inr sist upon an ample apology in the next day's paper ; and after dictating such a one, as Fe- licia thought would not only vindicate Rosa- lind's reputation, but strike a terror in her ca- lumniators, she left the office with blended feelings of grief and shame. All that could be done to clear her sister's fame from so foul a charge had been achieved; but Felicia had learnt to approximate the most distant periods, and familiarize her mind to what might be the consequence of present events. She felt that the purity of a name once defiled, like a gathered floweret, fades away ; and its fresh- ness, its lustre, never return. Silent and de- jected, she reached the place where she had de- sired the coachman would wait their return, and without speaking, threw herself into the carriage. "" Who could have thought it !"" were the first words that burst from Rosalind, as she drew up the glasses, and the coach drove off. "" A little vinegar witch ! I always knew she was vain and pettish, but I had no idea she was so malicious a vixen.",mark,,
296,"I will not ask it now then, Walter ; but we must meet again. I could not die in peace if I saw you not ; and you must think of me as a father — a fond father, and receive from me a son's portion. It is a simple thought to become an author : you have saved me tens of thou- sands — you will not pain me by refusing part of what you have preserved ?"" "" Pardon me, this must not be !"" interrupted Gordon quickly. "" I would not pain you by refusing ; you must not pain me by the offer- ing. You had a claim on my services for your past kindness. On this point I am resolute :",mark,,
